             4000.00     9.571   253.434    -9.265    51.000
             4500.00    10.559   263.520   -12.315    59.000
             5000.00    11.758   270.212   -14.664    58.000
2022070107   307.029     0.000 10008.088   451.523     0.000    52.522    66.412   0.37615   0.15000     5.000   -83.090     0.898
                2.00                        11.934    81.694    -0.483
               10.00     3.537   227.883
               18.75     3.920   228.267    11.452    82.000
               50.00     4.631   229.043    11.072    83.000
               75.00     4.887   229.392    10.820    83.000
              100.00     5.058   229.701    10.589    84.000
              125.00     5.194   230.012    10.368    85.000
              150.00     5.359   230.592    10.059    86.000
              175.00     5.449   231.004     9.898    87.000
              206.25     5.614   231.771     9.625    88.000
              250.00     5.988   233.320     9.220    89.000
              300.00     6.663   235.502     8.834    90.000
              350.00     7.883   238.727     8.475    89.000
              400.00     8.482   241.334     8.268    85.000
              450.00     8.683   242.725     8.028    84.000
              512.50     8.647   243.996     7.592    82.000
              600.00     8.475   244.982     6.925    83.000
              700.00     8.399   246.027     6.196    85.000
              800.00     8.384   247.086     5.480    88.000
              900.00     8.386   248.096     4.739    90.000
             1100.00     8.554   248.747     3.400    93.000
             1500.00     9.473   249.757     2.163    79.000
             2000.00     9.340   250.942     1.407    52.000
             2500.00     8.663   247.544    -0.582    36.000
             3000.00     8.777   246.014    -3.074    28.000
             3500.00     9.407   246.651    -6.073    36.000
             4000.00    10.109   250.874    -9.597    67.000
             4500.00    11.107   261.006   -12.476    64.000
             5000.00    12.224   267.407   -14.729    53.000
2022070108   466.140     0.000 10008.801   718.358     0.000   107.233   114.165   0.44634   0.15000     5.000   -68.863     1.324
                2.00                        13.143    75.284    -0.619
               10.00     4.014   223.185
               18.75     4.450   223.656    12.524    76.000
               50.00     5.253   224.579    12.083    77.000
               75.00     5.529   224.951    11.809    77.000
              100.00     5.701   225.239    11.561    78.000
              125.00     5.828   225.501    11.321    79.000
              150.00     5.943   225.859    11.001    80.000
              175.00     5.992   226.059    10.832    81.000
              206.25     6.066   226.416    10.536    82.000
              250.00     6.150   227.016    10.092    83.000
              300.00     6.223   227.724     9.633    85.000
              350.00     6.306   228.690     9.107    87.000
              400.00     6.393   229.748     8.649    89.000
              450.00     6.495   230.781     8.264    90.000
              512.50     6.713   232.602     7.686    92.000
              600.00     7.272   236.309     6.936    93.000
              700.00     8.087   241.146     6.323    90.000
              800.00     8.543   244.246     5.827    86.000
              900.00     8.617   246.061     5.269    85.000
             1100.00     8.628   247.239     4.063    86.000
             1500.00     9.370   252.908     2.292    78.000
             2000.00    10.049   254.342     0.750    60.000
             2500.00    10.494   250.425    -1.108    47.000
             3000.00    10.528   249.514    -3.286    47.000
             3500.00    10.458   249.460    -6.337    69.000
             4000.00    10.773   251.812    -9.729    82.000
             4500.00    11.782   260.032   -12.474    62.000
             5000.00    12.923   265.375   -14.681    43.000
2022070109   614.547     0.000 10009.582   943.724     0.000   158.536   158.164   0.48562   0.15000     5.305   -60.232     1.649
                2.00                        14.631    68.357    -0.696
               10.00     4.206   217.392
